# Derivations intermediate from 'srov'
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

# EtymDict: "derivation" is maybe derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"

# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation

# WARNING - its complicated and the anotation was made really quickly by average person, not linguist!

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct



parent	grandparent	derivation
dmout#V????--??-??I??	dout#V???---??-??I??	dmýchat#V????--??-??I??
drknout#V????--??-??P??	drcat#V????--??-??I??	drkotat#V????--??-??I??
drandit#V????--??-??I??	drcat#V????--??-??I??	drnčet#V????--??-??I??
adresa#NNF??-----A---?	drezura#NNF??-----A---?	dres#NNI??-----A---?
drcat#V????--??-??I??	drndat#V????--??-??I??	drkotat#V????--??-??I??
cinknout#V????--??-??P??	drndat#V????--??-??I??	brnkat#V????--??-??I??
drsný#AA???----??---?	drápat#V????--??-??I??	drásat#V????--??-??I??
dubióza#NNF??-----A---?	duet#NNI??-----A---?	duel#NNI??-----A---?
cucat#V????--??-??I??	dumlat#V????--??-??I??	cumlat#V????--??-??I??
dudlat#V????--??-??I??	dumlat#V????--??-??I??	dudlík#NNI??-----A---?
donace#NNF??-----A---?	dáseň#NNF??-----A---?	dar#NNI??-----A---?
podlý#AA???----??---?	dělit#V????--??-??I??	podle#Dg-------??---?
dermatologie#NNF??-----A---?	díra#NNF??-----A---?	dřít#V????--??-??I??
div#Db-------------	dít#V???---??-??P??	děj#NNI??-----A---?
generovat#V????--??-??I??	džentlmen#NNM??-----A---?	generace#NNF??-----A---?
dtto#Db------------b	edikt#NNI??-----A---?	verdikt#NNI??-----A---?
diskotéka#NNF??-----A---?	koedukace#NNF??-----A---?	dedukovat#V????--??-??B??
artefakt#NNI??-----A---?	efekt#NNI??-----A---?	defekt#NNI??-----A---?
disputovat#V????--??-??I??	egalizace#NNF??-----A---?	ekvivalentní#AA???----??---?
diecéze#NNF??-----A---?	ekologie#NNF??-----A---?	ekonomie#NNF??-----A---?
