# derivations that will be added to DeriNet based on Etym dict derivations list
# there is intermediate node between the derivation and the new parent its connected to
# in the etym dict there is a derivation between parent and intermediate node but intermediate node isnt root
# so insted of connecting this derivation to the parent we connect root of the intermediate node (derivation column)

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 341 probably correct new derivations, cca 75 % precision

derivation	parent	intermediate_node
proudit#V????--??-??I??	proud#NNI??-----A---?	proudění#NNN??-----?---?
*maloměsto#NNN??-----A---?	provincie#NNF??-----A---?	maloměstský#AA???----??---?
provisorium#NNN??-----A---?	provizorní#AA???----??---?	provizorium#NNN??-----A---?
publicistika#NNF??-----A---?	publikovat#V????--??-??B??	publicista#NNM??-----A---?
pumpnout#V????--??-??P??	pumpa#NNF??-----A---?	pumpovat#V????--??-??I??
puta#NNF??-----A---?	putička#NNF??-----A---?	puťka#NNF??-----A----
@spára#NNF??-----A---?	pár#NNI??-----A---?	spárovat#V????--??-??I??
pár#NNI??-----A---?	pára#NNF??-----A---?	parný#AA???----??---?
pást#V????--??-??I??	pás#NNI??-----A---?	opásat#V????--??-??P??
pojit#V????--??-??I??	pít#V????--??-??I??	nápoj#NNI??-----A---?
*var#NNI??-----A---?	pivo#NNN??-----A---?	pivovar#NNI??-----A---?
pidimuž#NNM??-----A---?	píď#NNF??-----A---?	pidimužík#NNM??-----A---?
polára#NNF??-----A---?	pól#NNI??-----A---?	polární#AA???----1?---?
pól#NNI??-----A---?	pólo#NNN??-----A---?	pólista#NNM??-----A---?
přást#NNI??-----A---?	příst#V????--??-??I??	zapřádat#V????--??-??I??
*podpořit#V????--??-??P??	přít#V????--??-??I??	podpora#NNF??-----A---?
rada#NNF??-----A---?	rada#NNM??-----A---?	radit#V????--??-??I??
rafika#NNF??-----A---?	rafije#NNF??-----A---?	rafička#NNF??-----A---?
raráš#NNM??-----A---?	rarach#NNM??-----A---?	rarášek#NNM??-----A---?
recidivizmus#NNI??-----A---?	recidiva#NNF??-----A---?	recidivista#NNM??-----A---?
reflexe#NNF??-----A---?	reflex#NNI??-----A---?	reflexivní#AA???----??---?
forma#NNF??-----A---?	reforma#NNF??-----A---?	reformovat#V????--??-??I??
regionál#NNI??-----A---?	region#NNI??-----A---?	regionální#AA???----1?---?
renomovat#V????--??-??B??	renomé#NNNXX-----A----	renomovaný#AA???----??---?
