parent	grandparent	derivation
reflexe#NNF??-----A---?	reflex#NNI??-----A---?	reflexivní#AA???----??---?
forma#NNF??-----A---?	reforma#NNF??-----A---?	reformační#AA???----1?---?
regionál#NNI??-----A---?	region#NNI??-----A---?	regionální#AA???----1?---?
renomovat#V????--??-??B??	renomé#NNNXX-----A----	renomovaný#AA???----??---?
revmatizmus#NNI??-----A---?	revma#NNN??-----A---?	revmatismus#NNI??-----A---?
rezervovat#V????--??-??B??	rezerva#NNF??-----A---?	rezervace#NNF??-----A---?
rezonance#NNF??-----A---?	rezonovat#V????--??-??I??	rezonanční#AA???----1?---?
drobit#V????--??-??I??	robot#NNI??-----A---?	robotizace#NNF??-----A---?
zárod#NNI??-----A---?	rod#NNI??-----A---?	zárodek#NNI??-----A---?
řinout#V????--??-??I??	ronit#V????--??-??I??	výron#NNI??-----A---?
rub#NNI??-----A---?	roubit#V????--??-??I??	zárubeň#NNF??-----A---?
rošťák#NNM??-----A---?	roští#NNN??-----A---?	rošťárna#NNF??-----A---?
zarudat#V????--??-??I??	rudý#AA???----??---?	zarudnout#V????--??-??P??
vyrudat#V????--??-??I??	rudý#AA???----??---?	vyrudnout#V????--??-??P??
dívka#NNF??-----A---?	rusý#AA???----??---?	rusovláska#NNF??-----A---?
porouchat#V????--??-??P??	rušit#V????--??-??I??	porucha#NNF??-----A---?
rozradostnět#V????--??-??P??	rád#AC???-----?----	rozradostněný#AA???----??---?
hojit#V????--??-??I??	rána#NNF??-----A---?	ranhojič#NNM??-----A---?
raný#AA???----??---?	ráno#Db-------------	ranní#AA???----1?---?
sada#NNF??-----A---?	sad#NNI??-----A---?	sadový#AA???----??---?
zasahat#V????--??-??I??	sahat#V????--??-??I??	zásah#NNI??-----A---?
satanizmus#NNI??-----A---?	satan#NNM??-----A---?	satanismus#NNI??-----A---?
scénáristika#NNF??-----A---?	scéna#NNF??-----A---?	scenáristický#AA???----??---?
souprava#NNF??-----A---?	sedět#V????--??-??I??	sedačka#NNF??-----A---?
selektiva#NNF??-----A---?	selekce#NNF??-----A---?	selektivní#AA???----??---?
separatizmus#NNI??-----A---?	separovat#V????--??-??B??	separatismus#NNI??-----A---?
septik#NNI??-----A---?	sepse#NNF??-----A---?	septický#AA???----??---?
sexus#NNI??-----A---?	sex#NNI??-----A---?	sexualita#NNF??-----A---?
noha#NNF??-----A---?	silon#NNI??-----A---?	silonka#NNF??-----A---?
skicnout#V????--??-??P??	skica#NNF??-----A---?	skicovat#V????--??-??I??
skvět#V???---??-??I??	skvít#Vf--------A----	skvost#NNI??-----A---?
skřípět#V????--??-??I??	skřípat#V????--??-??I??	skřípění#NNN??-----?---?
ladit#V????--??-??I??	sladký#AA???----??---?	přisladit#V????--??-??P??
naposled#Db-------------	poslední#AA???----??---?	naposledy#Db-------------
sloužit#V????--??-??I??	sluha#NNM??-----A----	služné#NNN??-----A---?
lovit#V????--??-??I??	slovo#NNN??-----A---?	úsloví#NNN??-----A---?
klobouk#NNI??-----A---?	sláma#NNF??-----A---?	slamák#NNI??-----A---?
smradit#V????--??-??I??	smrdět#V????--??-??I??	nasmradit#V????--??-??P??
smutnět#V??????????????	smutný#A????----??---?	posmutnět#V????--??-??P??
smát#V???---??-??I??	smích#NNI??-----A---?	posměšný#AA???----??---?
sopranista#NNM??-----A---?	soprán#NNI??-----A---?	sopranistka#NNF??-----A---?
úzký#AA???----??---?	soužit#V????--??-??I??	sužovat#V????--??-??I??
spravedlný#AA???----??---?	spravedlivý#A????----??---?	spravedlnost#NNF??-----?---?
spray#NNI??-----A----	sprej#NNI??-----A---?	sprejový#AA???----??---?
pravý#AA???----??---?	správa#NNF??-----A---?	spravovat#V????--??-??I??
prospěch#NNI??-----A---?	spět#V????--??-??I??	prospět#V????--??-??P??
starat#V????--??-??I??	starý#NNM??-----A---?	zastarat#V????--??-??P??
letoun#NNM??-----A---?	stihnout#V????--??-??P??	stíhačka#NNF??-----A---?
postlat#V????--??-??P??	stlát#V????--??-??I??	postel#NNF??-----A---?
přestoupit#V????--??-??P??	stoupat#V????--??-??I??	přestupní#AA???----1?---?
stoupit#V????--??-??P??	stoupat#V????--??-??I??	prostoupit#V????--??-??P??
sestoupit#V????--??-??P??	stoupat#V????--??-??I??	sestupový#AA???----??---?
zastoupit#V????--??-??P??	stoupat#V????--??-??I??	zástupný#AA???----??---?
přistoupit#V????--??-??P??	stoupat#V????--??-??I??	přístupný#A????----??---?
vstoupit#V????--??-??P??	stoupat#V????--??-??I??	vstup#NNI??-----A---?
postoupit#V????--??-??P??	stoupat#V????--??-??I??	postupový#AA???----??---?
ustoupit#V????--??-??P??	stoupat#V????--??-??I??	ústupový#AA???----??---?
stydět#V????--??-??I??	ostouzet#V????--??-??I??	ostudný#AA???----??---?
zastydat#V????--??-??I??	stydnout#V????--??-??I??	zastydlý#AA???----??---?
