Kornoušková	Kornoušek
Banková	Bank
Bangová	Bang, Bango, Bangka
Malušová	Maluš
Malátková	Malátek
Malínková	Malínek
Banseová	Banset
Banonová	Banon, Bannon
Banyaová	Banya
Banyová	Bany, Banya
Šolléová	Šolle
Banyáková	Banyák, Banyak
Malásková	Malásek
Malíčková	Malíček
Tobíšková	Tobíšek
Tocháčková	Tocháček
Vylitová	Vylita
Baquerová	Baquero, Bačer
Šodková	Šodek
Baníková	Baník
Baptisteová	Baptiste
Baptistová	Baptiste, Baptist
Korečková	Koreček
Vymětálková	Vymětálek
Vyorálková	Vyorálek
Šnýdlová	Šnídl
Barabanová	Barabanov
Mandincová	Mandinec
Mandelíčková	Mandelíček, Mandelík
Tlášková	Tlášek
Šnejdárková	Šnejdárek
Vysekalová	Vysekal
Barancová	Baranca, Baranec
Šnajdárková	Šnajdárek
Baraová	Bara, Baraba, Barao, Barama, Baran, Barac
Mandžuková	Mandzuk
Korcová	Korec
Mandrlová	Mandl
Mandovcová	Mandovec
