oblomovština	oblomovský, Oblomovský
autohavárie	havárie, havarie
malina	malý, málo, malovat, Malina
zálom	zalít, zalát, zalomit, lom, zalámat
pahýl	hýl, Pahýl
hrbolatit	hrbolatý, hrbol
bleskat	blesknout, blýskat, blýsknout, blesk, lesknout, tlesknout
oboroh	obora, roh, obrat
čížek	číž, Číž
vřes	ves, ges
pokuta	kuka, kutat, kuča, kukat
křoupat	křupat, koupat
kouč	kočovat, kočí, koučovat
opál	opálit, vál, pálit, sál
bioinsekticid	insekticid, -bio-
pinkat	pinknout, pikat, pinka
savo	Savo, savý
berylioza	beryl, berylióza, beryliosa
transcedence	transcedentní, transcendovat
paraliteratura	literatura, par
dichlorid	chlorid, dichlor, chlorit, chlor
čaitja	čaj, čajní
jahodina	jahoda, jahodí
vrtík	vrtat, vrt, vrtět
abstraktum	abstrakce, abstraktní, abstrakt, abstrahovat
bambule	bambulka, bambula, Bambule
berkovec	Berkovec, Berk
šeře	šerý, šero
somatopsychika	somatopsychický, psychika
elektor	elekce, lektor
křídlok	křídlo, Křídlo
oploteň	oplotit, oplocený
uměna	umět, měna, umínit, uměný
fantaskno	fantaskní, fantazie, fantastický
talíř	talit, taleř
petka	Petka, péct
kudla	Kudla, Kudela
filmovné	film, filmový
srnec	Srnec, srna, sen
sulfonal	sulfon, sulfonace
motýl	Motýl, mýt
generálie	generální, generál
kooprodukce	produkce, koprodukce
věk	věkat, Věk
vazko	vázat, vazký, vázka, vaz
kanadsku	Kanada, kanadský, kanada
šejkát	šejk, šmejkat, švejk
senzace	sensace, senza
boxlík	box, bok, Box
papácha	papacha, papat, pnout
téka	tetan, teak
stejk	stýkat, setkat, stát
kmihat	kmihnout, komihat
porád	poradit, poradní, poradný, pořádat, rád
gramatém	gramatický, gramatika
ficka	nicka, micka
vlčet	vlčit, vlk
minielektrárna	elektrárna, elektra
vakokrt	kokr, vak
gamagrafie	gama, -gam-
příst	píst, půst, stát, jíst, pást
skvrna	skvrnit, Skvrna
zrno	zrnit, zrní, Zrno
lokativ	lokávat, lokální
demokrát	demokracie, demokrat
ronit	rána, ron
ministrana	ministr, Ministr
naci	cena, citický
kleště	kleč, klep
žebrat	žebr, žrát, žebro, brát
brdo	Brdo, Brda, drb
sporý	spor, sport, spořit, spora
posté	poster, post, půst
renáta	Renáta, Renata
hospitál	hospitální, hospitálský
heslo	hles, hlíst
nába	nána, nabalit
matematika	mathematika, matematický
křísit	křís, křísek
šeřík	šíř, šeře, šíře, šeření
kraton	krátit, krát, krátký
jméno	jemno, jemný
bouchat	bouchnout, buchat
trávit	tráva, Tráva
brazilin	brasilin, Brasilie
polytyp	typ, -typ-
půlit	pól, půle, pólo, polo
desmolasa	molasa, melasa
čapák	čapat, čap, čapový
anomerní	morní, mor
macho	Macho, Mach, mach
šotek	šot, šít, štok, tok
strádat	střádat, drát
divize	divý, div
vřít	přít, vít, jít, bít
pětiprsťák	pětiprstový, pětiprstý
vrš	vrch, vršit, vrh
letovod	let, letový
analyt	analýza, analyzovat
zub	Zub, zubit, zubovat, zubík
paprča	papat, pater
signál	signální, Signal
česnek	účes, Česnek
amoret	amor, mor
srst	růst, rest, prst
štíře	štír, šít
žíce	žít, líc, žnout
křečovka	křečový, křečovat, křečovský, křeček, Křečov
rétorika	rétorický, rotika
žvasta	žvast, žvastat
hojit	hájit, jih
pálí	pálit, páli
jednotit	jednota, jednotný, Jednota, jednat
kvapit	kvap, kvapný
expropriant	expropriace, expropriovat
flinkat	flinknout, blinkat
záduma	zadumat, duma, dáma, zadmout
mototechna	tence, Mototechna, motat
viněta	vinout, vina, vinit
vrápat	vrapit, vrap
plíce	plec, plat, platit
diopol	pole, polo
emise	mise, demise
bombardón	bombardon, bombarda
hedžra	hodža, hadra
pačok	packý, pack, patok, pak, pac
tušit	tuhý, tuš, těšit
řeka	říkat, říct, řeknout, řikat
stereotypér	stereotyp, stereotypie
vnuk	vnoukat, vnik, Vnuk, vnukat, vnuknout
kormorán	Kormoran, Cormoran
škrábak	škrábat, škrába, škráb, škrábnout, škrábek
máčka	máček, mačka
torero	Tore, teror
tastatura	tast, státní
věstit	pěstit, věstec, věštit
červený	čertit, Červený
privát	vát, přivát
fosfan	fosfin, fosfor, fosfornan
kantovka	kanta, Kant
reparatura	reparace, reparant, reparátor, reparační, reparát
bulík	boule, Bulík
bulík	boule, Bulík
campus	kampus, camp
polygrafie	-graf-, -poly-
mačeta	maketa, mák
parataxe	taxa, taka
passo	paso, pasovat, psát
recital	recitovat, recitál
hříště	hrát, hřát, hřích
sinusoidální	sinus, sinusoida
osoba	Osoba, osní
komunita	komunizmus, komuna
červenozeleno	červenozelený, červený
kopist	kopa, kop, kopí, kopie, kopista
kopist	kopa, kop, kopí, kopie, kopista
vrátit	vrátný, vrata, vratný
kudrna	Kudrna, Kudra
garancie	garance, garant, garanční, garantovat
kazeta	kázat, kaz
hoblíř	hobl, hoblovat, hoblina
strojit	stroj, trojí, roj
báňat	báň, bán, bánit
postkonto	skonto, konto
patřit	přát, patro
zatím	zatim, mít, dít
biopolička	polička, biopole
cigánit	cigán, Cigán
hamounit	hamoun, hamat
pahodnota	hodnota, hodný, bodný, lodna
oklika	klika, klikat
emoce	moce, emo
bodhi	Bodhi, bódhi
kloub	kloubit, klubat, klub
pecka	Pecka, Peca, Pec, peckový, pec
difrakce	frakce, trakce
lochkov	loch, Lochkov, lochkovský
poráde	rád, porád
hologram	holografie, holograf
číslo	česlo, číst
propacht	pacht, propachtovat
pětadevadesátina	pětadevadesátka, pětadevadesátník
primát	prima, prim, príma
primát	prima, prim, príma
hydrobiologie	biologie, tribologie
spot	pot, spět
zevar	var, víra
autofokus	fokus, auto
shodný	shodit, shoda, hodný, hod
aerostatika	aerostat, statika, aerostatický
sápat	tápat, pást, opat
herka	hrát, hora, hra
dizertant	dizertace, disertant, disertace
proprétor	prétor, propérovat
topika	topický, Topič, topikum
párty	party, pára, pár, párky
kanice	kání, káník, kanec
zurčet	čert, zurčit, burčet
ložit	lehat, ležet, lože, leh
protisíla	síla, síl
adapter	adaptovat, adaptace
adapter	adaptovat, adaptace
rynek	Rynek, Ryn, rynk
politologie	litologie, politický
celina	celý, cela, celní, celovat
katun	kat, kát
holoseč	holice, holý
amitóza	mitóza, meta, Amit
hody	hod, hodit, hodný
plantat	Planta, plakat, plantace
delirium	les, len, delírium
hospitant	hospitovat, hospitace
žernov	Žernov, žerný
rádler	Rádler, rádlo, radler
hypnotikum	hypnóza, hypnotický
bobulák	bobule, bobulový
kalibrátor	kalibrovat, kalibrace, kalibr
franchisor	franchisa, franšíza
paterý	patřit, patro, pata
pípa	pnout, pepa, psát
diethyl	dietyl, dieta
perfuse	perfuze, perfúze, fuse
žhnout	žehat, žíhat, žnout
pupek	pupa, up
sval	sválet, val, svalovat, svát
processing	proces, procesing
stoletý	stůl, stolit, slot
léč	leč, léčit
variance	variace, variovat
poéma	poema, poeta
školomet	školit, škola
školomet	školit, škola
prohibitorium	prohibice, prohibicionizmus
laryngy	larynx, laryng
margareta	Margareta, Margaret
drhat	drhnout, trhat, drknout
termika	termický, termie, term
lákat	lák, lákací
jinan	jiný, jin
heliofyt	-fyt-, helium
morin	mora, Mora
scorpio	Scorpio, Corel
tříďas	třídit, třída
dionýsia	Dionýsos, Dionýsios, Dionýs
svlakovka	svlakový, svlak
taroty	tarot, taro
biomaso	biomasový, biomasa, maso, masový
profilab	profilovat, profil
azurný	azur, dur
faktologie	fakt, faktorie, faktor
aktiv	aktivní, aktivum, aktivovat, akt
chromium	chrom, chromý, chromovat
ultimátum	ultimátní, ultimatum
barák	Barák, Barak, Bara, Bary, Barok, Barus, Barca, Barza
cyklisťák	cyklistický, cyklistika
vrangat	vrána, vráně, vranka
materál	materiální, materiál
provizijní	provize, provisijní, provizní
modrota	modrý, Modrý, modro, mod
orlice	orel, orlík, Orlice
karbolin	karbol, Carbol, karbolín
petrolín	petrolin, Petrol
šofér	šéf, šíf
splasknout	plasknout, mlasknout
politura	polický, police
jahodiní	jahodina, jahoda, jahodí, Jahoda
pár	par, part, párat, parkovat
kytka	kýtka, kyta, kýta, Kytka
listerióza	lista, listovat
třínoze	třínohý, trojnohý
maďal	maral, mazat, mazal
kohoš	koš, košový
katapulťák	katapultový, katapult
soused	sousedit, soudit, sed, sousední
aviatika	avia, avium, aviatička
direkce	direktovat, direkční
božec	bob, boa
býk	Bek, bek, bekat
tribunál	tribun, Tribune
vražit	vrah, vrazit, vražda
haklík	Hakel, Hakl
hatit	hať, halit
šprták	šprtat, škrtat, šprkat
kápí	kápě, kapí
lábat	lnout, líbat, lámat
kabonět	kabonit, Kabon
masiv	masa, maso, masivní
patronance	patronovat, patron
froté	frotovat, frotáž, frotér
polostep	leptat, lept
gumokov	gumovka, gumový, guma
ďolík	dolík, dol, dolek, důl, Dol, kolek
sporogon	sporogonie, sporý
suchar	suchý, ucho
maritimní	Maritime, maritimum
znít	zen, hnít
biatermie	termie, diatermie
krakelur	krakel, krakelovat
vladyctvo	vladycký, vláda
mamutice	mamutík, mamutka, mamut
pleš	plech, plešný
pleska	Pleska, ples, pleskat, plesknout, pleso
véna	Véna, vést, vé
granik	gran, granit, Granik, gránik, Gran
limonén	limonen, limon
konšel	koncha, Konšel
buchar	Buchar, Buch, Bucher, Bucha
velhat	lhát, lehat
bok	box, Bok, boční
ovál	vál, val, sál
agent	agence, aga, agencie
palatinát	palatin, Palatin
houba	huba, Houba, hubit, hubovat
starina	starý, star, stařina
stimulancie	stimul, stimulovaný, stimulovat
koňak	kůň, koňka
forsáž	ský, Forsa
aluminóza	alumina, aluminosa
lijec	lít, líc, líce
past	pást, pastovat, pastový
američka	Amerika, amerika, Marika, Marek
velour	velký, velur
police	líce, celý
perfektní	perfektum, perfekce
mambo	mamba, samba, Mamba
pointer	point, pointovat, pointa
pointer	point, pointovat, pointa
četka	četa, čest, číst, četný, Četka
borlice	borec, borek
starý	stát, star, Starý
berunka	Buren, Bruna
hypsometrie	-metr-, hypsometr
hlédat	hledat, hlédnout, hlídat, hledět
čipera	čiperný, čiperno
čas	časný, časit, časovat
sťatý	semo, sek, sem, set
drncák	drncat, drnkat, Drnec, Drnek
asignant	asignace, asignovat
okulár	kolur, koule, okoulet
sofort	fort, soft
dštít	štít, chtít, štět
loupit	loupat, lupa
žabec	žába, žabí
žeravit	žeravý, žeřavý
periferie	ferie, periferní
rajon	rajonizovat, Ramon, rajón
dobson	Dobson, son, boson
círek	cer, Cír
omšet	omšít, omžít
žárno	žárný, žarno
stativ	statický, stát
syčet	sykat, sek, seknout, skýtat, sekat
rád	radit, ráz
solvina	svolit, slovit
imprimatur	imprimovat, imprimátur
holobradý	holba, hra
tobolka	Tobola, Tobol, Tobolka, Tobolák
grafióza	grafizmus, grafický
rekompilátor	rekompilovat, kompilátor, rekompilace
studio	stud, studium
noblesa	noblesní, Boles
medle	mést, mdle
uranin	Uran, uran
literál	litera, literalizmus, literální
šrák	šárat, šírat, šrám, šár
světlovodič	světlovod, světlet
invalidní	invalida, validní
bušit	buš, buchat
pávě	páví, páv, pávie
pětilitrovka	pětilitrový, pětilitr
klubat	klusat, klus
kasárna	Kasárna, kasární, kasa
prýskat	sykat, prýsknout
máslo	mást, Máslo
lze	léze, zle, lézt, zlý
opět	opít, opat
cyklo	cyklus, -cykl-
cyklo	cyklus, -cykl-
balíza	bal, balza
žatec	Žatec, žnout, žatý
klopit	klopa, lek, klopný
líto	léto, lít, litý, lítý
bílý	lít, Bíl, Bíla
perkál	perka, Perka
legista	legizmus, legismus, legovat, lego
osina	Osina, es
vráz	vřít, mráz, ráz
spět	pět, psát, pec, píst, pech
šťavan	šťáva, šťava
krivý	Krivý, kryvý, kráva
klec	Klec, klnout, klek
bručna	bručet, brut
diskurz	kurz, disk, diskurs
minimal	minimální, minimum
miniformace	formovat, formace, formovaný
elko	Elo, Elko, El, Ely
dělo	dělat, dílo
polylinie	cella, tyl
desátek	sát, desátka
junák	Junák, jonák, Juna
junák	Junák, jonák, Juna
znova	znít, nova, znov, nový
ulehlina	ulehle, ulehlý
africana	Afrika, Africa
ručej	ručit, ruka
praetor	prétor, pretor
békat	bák, bekat
ideál	idea, ideální
luciferasa	Lucifer, lucifer
levo	levý, lovit, Levý
oktant	okovat, kant
robototechnika	robot, robota
zinek	Zinek, zen
tiskat	tisk, tisknout, tisky, tiský
čúza	číza, čůza
váh	váha, váhnout, váhat, Váh
vizura	visura, vize
centáv	cent, cinta
direktíva	direkt, direktovat, direktní, direktiva
saturna	saturovat, Saturn
traktura	trakt, traktor, trak, trakce, trák, traktovat
represní	represe, pres
kastrát	kastrace, kasta
stát	tát, dát
maděra	Maděra, máza
valoun	vál, valit
bufonáda	bufat, bufa
poluce	luk, polovina
stát	tát, dát
stát	tát, dát
klot	klát, klkat, klít
vonět	vojet, notit
vábit	vát, váha
masarykovsku	masarykovský, Masaryk
epikúrejec	epikúrejský, epikurejec
lát	Lát, dál
stopa	post, stopina, stopit
struktura	strukturní, strukturace, strukturovat, striktura, strukturační
čít	číst, jít, lít
postgraduál	postgraduální, graduál
předsedící	sedící, předsedat, předseda, přesedět, sedět
geologie	-geo-, teologie
proplach	propláchnout, proplatit, proplachovat
plato	platný, platit
pastorela	pastor, pasta, pastel
aluminoza	aluminosa, aluminóza, alumina
kiksat	kiks, kiksnout
buggyra	Buggyra, bug
skoupý	ska, seknout
děnga	denně, den
muzikál	muzický, muzikální
opich	opíchnout, op
přát	prát, ptát, ztát, přást
azar	Azar, zírat, sít, Zar, zíratel
hole	holý, holo
hole	holý, holo
ironie	iron, Iron
agrokonto	Agrokonto, konto
trombocyt	tromba, trombus, trombotický
hřad	hřát, hrad
nimra	nimrat, nimraný
megapole	pole, půle, plet
kostn	kost, kostna
arabica	arabský, Arabba
mogot	moci, močit
broukat	brouknout, brouk, brok, brokát
sukcesní	sukcese, sukces
metol	metal, metat, Metal
spirituál	spirituální, spiritualizmus
bekyně	kona, káně, hnout
aluminosa	aluminóza, aluminoza, alumina
carisma	Carisma, carizmus
kvadratura	kvadrát, kvadrátní
mátí	mýt, máta
zetka	zítka, zíta
hmitat	hmit, hmitnout, hem
exrival	rival, rex
baran	Baran, bór, buran
oktal	kat, kal, okal
oves	viset, ves
bazár	bazar, báza
purgativum	purgace, purgativní
krsek	Krs, Krsek
ranec	rána, raný, raní
majna	máj, magna, mana
nálom	nalámat, nalít, nalomit, lom, lomit, lát
apendicitis	apendix, apendicitida
malabsorbce	absorbce, falba
lenit	len, lán
vápno	Vápno, vát
lhůta	lež, leh, Lhůta
láčka	lák, lákat
koroze	kora, koraze
kavalérie	kavalerie, kavalír, cavalerie
bioráj	roj, ráj
meziparlamentární	parlamentární, meziparlamentní
bubák	Buba, Bubák
bubák	Buba, Bubák
hrubý	huba, hora
vědro	vedro, vést
puc	pác, pucovat, péct
krát	krátký, krátit
mohyla	mohylový, Mohyla
pozdě	zípat, zdění
lenoch	léno, len, Lenoch
pasting	past, pást, pasta, pastovat
juchat	cuchat, ňuchat, juchnout
železí	železo, železa, ležet
trilobit	libo, libový, líbit
bohém	bůh, bohémův, Bůh
paraplegie	plegie, paraplégie
moroň	rom, mora
potom	pot, Pot
kauzativum	kauza, kausativum
padova	pad, pád
pucek	Pucek, puc, pucovat, pouk
míčovka	míčový, míč, míčkový, Míčov
sípět	sepnout, spět, píchat
kulisa	koule, koulet
vrtkat	trkat, vrtat, vrt
konsonance	konsonant, konsonovat
starat	star, starý, Star
selekce	selecký, selekční
zmata	zmatit, zmást
zmata	zmatit, zmást
magnetooptika	magnetooptický, magnet
rafinóza	rafinosa, rafinovat
akrobatika	akrobatický, akrobat
vizír	Vizír, air
tříkoaličník	tříkoalice, tříkoaliční
samec	Samec, sámek, sát
lokaj	Lokaj, lokávat, lokat
hladýš	hlady, hlad, hladit, hladký, hladový
piky	pika, piké, piko, píka, pik
vztahovka	vztahovat, vztahový
jakost	jak, Jak
řehonit	honit, řehnit, řehot
balit	Bala, bál
vzor	zvor, vzít
žežhulčí	žežhulka, žežhule, žežulka
-para-	para, par, pare
bioproces	-bio-, proces
pendantiv	pendant, pandantiv
motouz	motat, metat, meta
orfik	rif, fikat
žvástal	žvastat, žvást, žvast
šikmý	šikmo, šikma, Ski, šik
mršit	mrcha, mrška
enumerativní	enumerace, enumerovat
rautík	raut, rautovat
pomorec	mora, mor, pomočit
džem	jam, jamb
bioprodejna	prodejna, -bio-
sekvencér	sekvence, sekvencer
dišput	disput, dišputovat
báchor	Báchor, bachor
vopera	opera, op, opeřit
domu	domučit, dóm, dom, dům
preparátor	preparovat, preparace
izobutan	isobutan, butan
outlet	letět, let
struska	truska, struk
centricit	centrický, centr, centrizmus, centrum
fenom	fen, fenon
třepat	tepat, třepnout, třepit, tep
perka	péro, Perka, perk, Perk, péct
fimbriolysa	fimbriolýza, fimbriolyza
voltiž	lot, volta
psout	pes, psát, psí
robit	roba, róba
savectvo	savec, savý, savka
šplecht	šplechtat, šplechtnout
sytý	setý, vytý, týt
proteklý	Protek, protýkat
tutorial	tutor, tutoriál
franko	Franko, Frank, Fran, Franka, Franek, frak, Franca, France, Frantina
rezonance	rezonovat, rezonant, rezonanční, rezonantní
portable	portovat, porter, port
určito	určitý, určit
sloha	sloj, leh
novu	nový, nově, nova, novina, Nový, novo
legát	Legát, legace
hrkat	hrknout, hrk
ostrohranný	strana, ostrý
mukat	muknout, mučit, muka, muckat
hyb	hýbat, háb
peklo	Peklo, péct
technofóbie	technofobie, -fob-
casuarius	Casuarius, casus
zatahovák	zatahovat, zatakovat
exfoliace	foliace, foliovat
strumitis	strumitida, struma
měch	míchat, Měch
beďar	bedra, Bedar
anorganika	anorganický, organický
pravý	prát, přít, prýt
loupat	loupit, lupat
zmenout	zmetat, zmehnout
práv	právní, právo
pumelo	puma, pomelo
drob	drbat, drba, drobek, drobit, drb
indikce	indikovat, indický, dikce
tuřice	tuří, tur, tuk
smrtit	smrt, smrtný, Smrt
biosolární	solární, solar
škareda	škaredit, škaredný, škaredět
hrink	hrknout, hrk
jezovita	jez, jezový
apolit	plít, plet, plot
duše	duch, duce
dudek	dudat, dudy, Dudek
flexaret	flexe, Flexaret
mamá	mama, máma
vadit	váda, vada, vařit, vat
ťápat	ťapat, ťupat, ťápa
interpret	interpretovat, interpretace
janeba	Janeba, Jan
perfúze	fúze, perfuze
máma	mama, mámit
gloria	glorie, Gloria
virosa	viróza, vir
injurie	jor, Jorie
román	Román, Roman, románský
platon	Platon, plato, platný, Plata
komnata	komuna, komunita, komunizmus
kosman	Kosman, klam
volapük	volák, volapyk
prak	krab, krát, praktika
verbář	verbum, verbovat, verš
prostatitida	prostatický, prostata
kejklat	kejkle, kývat
klon	klonit, clonit, kolovat
