# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
vitaminisovávat	V
vkulovat	V
vmobilisovávat	V
voběsit	V
vobjevit	V
vobsloužit	V
vodepsat	V
vodjet	V
vodpálit	V
vodrůst	V
vodskočit	V
vodvařit	V
vofrňovávat	V
vohlásit	V
vohřát	V
vokalisovávat	V
Volmuth	N
vomilostnit	V
vomluvit	V
voprášit	V
vopravit	V
vopuchnout	V
vopustit	V
vorazit	V
vorvat	V
voslovit	V
votéci	V
votočit	V
votrnout	V
votužit	V
voživení	N
všeobsáhnout	V
vulgarisovávat	V
vulkanisovávat	V
vyanalysovávat	V
vyarchívovávat	V
vycensurovávat	V
vyciselovávat	V
vyčiřovávat	V
vyděsovávat	V
vydiplomatisovávat	V
vyfilosofovávat	V
vygeneralisovávat	V
vycharakterisovávat	V
vykonsumovávat	V
vykrystalisovávat	V
vymobilisovávat	V
vypolérovávat	V
vypolírovávat	V
vypouknout	V
vyprecisovávat	V
vyresonovávat	V
vyscannovávat	V
vyskannovávat	V
vyskanovávat	V
vyskennovávat	V
vyskenovávat	V
vysterilisovávat	V
vystylisovávat	V
vyšibrovávat	V
vyteoretisovávat	V
vyvadnout	V
zaarchaisovávat	V
zaarchívovávat	V
zablednout	V
zabotanisovávat	V
zabsolutisovávat	V
zabydlit	V
zacensurovávat	V
začmoudnout	V
zadjektivisovávat	V
zadoflegmatizovávat	V
zafantasovávat	V
zageneralisovávat	V
zachlórovávat	V
zaimprovisovávat	V
zaironisovávat	V
zajodovávat	V
zakabonět	V
zakatalogisovávat	V
zakcionisovávat	V
zaklikatět	V
zaklimatisovávat	V
zakonservovávat	V
zakritisovávat	V
zaktivisovávat	V
zaktualisovávat	V
zalegorisovávat	V
zalkalisovávat	V
zalkoholisovávat	V
zamerikanisovávat	V
zamlhnout	V
zamobilisovávat	V
zamortisovávat	V
zanalysovávat	V
zanarchisovávat	V
zanglikanisovávat	V
zanglisovávat	V
zantropomorfisovávat	V
zaparfemovávat	V
