@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
novy par: alpinka --> alpinkový	 pravidlo: N-a --> A-ový
novy par: Alster --> Alsterová	 pravidlo: N- --> N-ová
novy par: Altaj --> Altajec	 pravidlo: N- --> N-ec
novy par: alterace --> alterační	 pravidlo: N-ce --> A-ční
novy par: alternace --> alternační	 pravidlo: N-ce --> A-ční
novy par: alternant --> alternantka	 pravidlo: N- --> N-ka
novy par: Althammer --> Althammerová	 pravidlo: N- --> N-ová
novy par: Altintop --> Altintopová	 pravidlo: N- --> N-ová
novy par: Altschmied --> Altschmiedová	 pravidlo: N- --> N-ová
novy par: Altynský --> Altynská	 pravidlo: N-ý --> N-á
novy par: Alušík --> Alušíková	 pravidlo: N- --> N-ová
novy par: Alván --> Alvánová	 pravidlo: N- --> N-ová
novy par: Alver --> Alverová	 pravidlo: N- --> N-ová
novy par: Alves --> Alvesová	 pravidlo: N- --> N-ová
novy par: Alvtegen --> Alvtegenová	 pravidlo: N- --> N-ová
novy par: Alwan --> Alwanová	 pravidlo: N- --> N-ová
novy par: Alwán --> Alwánová	 pravidlo: N- --> N-ová
novy par: Alžběta --> Alžbětka	 pravidlo: N-a --> N-ka
novy par: Amado --> Amadoová	 pravidlo: N- --> N-ová
@ novy par: Amado --> Amadová	 pravidlo: N- --> N-vá
novy par: amalgamace --> amalgamační	 pravidlo: N-ce --> A-ční
novy par: amalgam --> amalgamový	 pravidlo: N- --> A-ový
@ novy par: Amanda --> Amandka	 pravidlo: N-a --> N-ka
novy par: Amann --> Amannová	 pravidlo: N- --> N-ová
novy par: amant --> amantský	 pravidlo: N- --> A-ský
@ novy par: amarela --> amarelka	 pravidlo: N-a --> N-ka
novy par: amarela --> amarelový	 pravidlo: N-a --> A-ový
novy par: amarelka --> amarelkový	 pravidlo: N-a --> A-ový
novy par: Amaru --> Amaruův	 pravidlo: N- --> A-ův
novy par: Amarú --> Amarúův	 pravidlo: N- --> A-ův
novy par: amatérský --> amatérství	 pravidlo: A-ký --> N-tví
novy par: Amati --> Amatiová	 pravidlo: N- --> N-ová
@ novy par: Amazon --> Amazonka	 pravidlo: N- --> N-ka
novy par: ambit --> ambitek	 pravidlo: N- --> N-ek
novy par: ambit --> ambitový	 pravidlo: N- --> A-ový
novy par: Ambrose --> Ambroseová	 pravidlo: N- --> N-ová
novy par: Ambrosi --> Ambrosiův	 pravidlo: N- --> A-ův
novy par: Ambroš --> Ambrošová	 pravidlo: N- --> N-ová
novy par: Ambroz --> Ambrozek	 pravidlo: N- --> N-ek
novy par: Ambroz --> Ambrozová	 pravidlo: N- --> N-ová
novy par: Ambrož --> Ambrožek	 pravidlo: N- --> N-ek
novy par: Ambrož --> Ambrožová	 pravidlo: N- --> N-ová
novy par: Ambrus --> Ambrusová	 pravidlo: N- --> N-ová
novy par: Ambrůz --> Ambrůzová	 pravidlo: N- --> N-ová
novy par: Amenre --> Amenreův	 pravidlo: N- --> A-ův
novy par: amerikanizace --> amerikanizační	 pravidlo: N-ce --> A-ční
novy par: amerikánský --> amerikánství	 pravidlo: A-ký --> N-tví
novy par: Amerling --> Amerlingová	 pravidlo: N- --> N-ová
novy par: amfibol --> amfibolový	 pravidlo: N- --> A-ový
novy par: amfibolie --> amfibolický	 pravidlo: N-e --> A-cký
novy par: amfiteátr --> amfiteátrový	 pravidlo: N- --> A-ový
novy par: Amcha --> Amchová	 pravidlo: N-a --> N-ová
novy par: amidol --> amidolový	 pravidlo: N- --> A-ový
novy par: Amir --> Amirová	 pravidlo: N- --> N-ová
novy par: Amish --> Amishová	 pravidlo: N- --> N-ová
novy par: Amler --> Amlerová	 pravidlo: N- --> N-ová
novy par: Amman --> Ammanová	 pravidlo: N- --> N-ová
novy par: Ammer --> Ammerová	 pravidlo: N- --> N-ová
@ novy par: Ammon --> Ammonec	 pravidlo: N- --> N-ec
novy par: amoleta --> amoletový	 pravidlo: N-a --> A-ový
novy par: amor --> amorský	 pravidlo: N- --> A-ský
novy par: Amort --> Amortová	 pravidlo: N- --> N-ová
novy par: Amos --> Amosová	 pravidlo: N- --> N-ová
novy par: ampulka --> ampulkový	 pravidlo: N-a --> A-ový
novy par: amputace --> amputační	 pravidlo: N-ce --> A-ční
novy par: amrhelka --> amrhelkový	 pravidlo: N-a --> A-ový
novy par: Amsel --> Amselová	 pravidlo: N- --> N-ová
@ novy par: Ana --> Anka	 pravidlo: N-a --> N-ka
novy par: anabolie --> anabolický	 pravidlo: N-e --> A-cký
novy par: analfabet --> analfabetský	 pravidlo: N- --> A-ský
novy par: analfabetský --> analfabetství	 pravidlo: A-ký --> N-tví
novy par: analysátor --> analysátorový	 pravidlo: N- --> A-ový
novy par: analytik --> analytikův	 pravidlo: N- --> A-ův
novy par: analýza --> analýzový	 pravidlo: N-a --> A-ový
novy par: anamnéza --> anamnézový	 pravidlo: N-a --> A-ový
novy par: Anča --> Ančka	 pravidlo: N-a --> N-ka
@ novy par: Ančič --> Ančička	 pravidlo: N- --> N-ka
@ novy par: Anda --> Andová	 pravidlo: N-a --> N-ová
