# Derivations direct, srov
# derivations that will be added to DeriNet based on Etym dict 'srov' list. List if words with similar meaning, structure, etymological origin or some other similarity.

derivation	parent
imbecil#NNM??-----A---?	debakl#NNI??-----A---?
dubleta#NNF??-----A---?	debl#NNI??-----A---?
dabovat#V????--??-??I??	debl#NNI??-----A---?
deci#NNNXX-----A----	decimovat#V????--??-??I??
ofenziva#NNF??-----A---?	defenziva#NNF??-----A---?
filé#NNNXX-----A----	defilé#NNNXX-----A----
infinitiv#NNI??-----A---?	definice#NNF??-----A---?
finiš#NNI??-----A---?	definice#NNF??-----A---?
floskule#NNF??-----A---?	deflorace#NNF??-----A---?
gusto#NNN??-----A---?	degustace#NNF??-----A---?
dekl#NNI??-----A---?	deka#NNF??-----A---?
cihla#NNF??-----A---?	deka#NNF??-----A---?
kaskáda#NNF??-----A---?	dekadence#NNF??-----A---?
kadence#NNF??-----A---?	dekadence#NNF??-----A---?
inklinovat#V????--??-??I??	deklinace#NNF??-----A---?
klinika#NNF??-----A---?	deklinace#NNF??-----A---?
kolárek#NNI??-----A---?	dekolt#NNI??-----A---?
decentní#AA???----??---?	dekorovat#V????--??-??B??
diskrétní#AA???----??---?	dekret#NNI??-----A---?
koncern#NNI??-----A---?	dekret#NNI??-----A---?
dekagram#NNI??-----A---?	dekáda#NNF??-----A---?
legát#NNM??-----A---?	delegace#NNF??-----A---?
kolega#NNM??-----A----	delegace#NNF??-----A---?
relikvie#NNF??-----A---?	delikt#NNI??-----A---?
marka#NNF??-----A---?	demarkace#NNF??-----A---?
marš#NNI??-----A---?	demarše#NNF??-----A---?
dementi#NNNXX-----A----	demence#NNF??-----A---?
molo#NNN??-----A---?	demolovat#V????--??-??B??
molekula#NNF??-----A---?	demolovat#V????--??-??B??
mustr#NNI??-----A---?	demonstrovat#V????--??-??B??
