# Derivations intermediate
# derivations that will be added to DeriNet based on Etym dict derivations list

# EtymDict: "derivation" is derivation of "grandparent", but "derivation" already has parent
# DeriNet: "parent" is root of tree containing "derivation"
# => connect "parent" (parent in DeriNet of the "derivation") to "grandparent" (in etym dict "grandparent" has listed "derivation" as child)
# root_of_grandparent <-...<- grandparent <-...<-parent <-...<-derivation


parent	grandparent	derivation
dráha#NNF??-----A---?	lano#NNN??-----A---?	lanovkový#AA???----??---?
taška#NNF??-----A---?	ledvina#NNF??-----A---?	ledvinka#NNF??-----A---?
rozlehnout#V????--??-??P??	ležet#V????--??-??I??	rozlehlý#AA???----??---?
líný#AA???----??---?	lenoch#NNI??-----A---?	lenoška#NNF??-----A---?
prolhat#V????--??-??P??	lhát#V????--??-??I??	prolhaný#AA???----??---?
lichoběžný#AA???----??---?	lichý#AA???----??---?	lichoběžník#NNI??-----A---?
lidnit#Vf--------A----	lid#NNIS?-----A----	zalidnit#V????--??-??P??
lidštit#Vf--------A----	lid#NNIS?-----A----	odlidštit#V????--??-??P??
bok#NNI??-----A---?	lokální#AA???----??---?	lokálka#NNF??-----A---?
zlotřit#V????--??-??P??	lotr#NNM??-----A---?	zlotřilý#AA???----??---?
loupit#V????--??-??I??	loupat#V????--??-??I??	výlupek#NNM??-----A---?
sloha#NNF??-----A---?	sloh#NNI??-----A---?	slohový#AA???----??---?
lukostřelba#NNF??-----A---?	luk#NNI??-----A---?	lukostřelec#NNM??-----A---?
růst#V???---??-??I??	léto#NNN??-----A---?	letorost#NNI??-----A---?
letět#V????--??-??I??	léto#NNN??-----A---?	letovisko#NNN??-----A---?
léta#NNNP?-----A---?	léto#NNN??-----A---?	zletilý#AA???----??---?
libý#AA???----??---?	líbat#V????--??-??I??	políbit#V????--??-??P??
léč#NNF??-----A---?	líčit#V????--??-??I??	léčka#NNF??-----A---?
líc#NNF??-----A---?	líc#NNI??-----A---?	lícový#AA???----??---?
lehký#AA???----??---?	líhnout#V????--??-??I??	vylíhnout#V????--??-??P??
brambor#NNI??-----A---?	litovat#V????--??-??I??	lítostivý#AA???----??---?
bylina#NNF??-----A---?	lýko#NNN??-----A---?	lýkožrout#NNM??-----A---?
limonáda#NNF??-----A---?	malina#NNF??-----A---?	malinovka#NNF??-----A---?
malomoc#NNF??-----A---?	malomocný#AA???----??---?	malomocenství#NNN??-----A---?
manit#NNI??-----A---?	man#NNM??-----A---?	vymanit#V????--??-??P??
masa#NNF??-----A---?	maso#NNN??-----A---?	masový#AA???----??---?
mateř#NNF??-----A---?	matka#NNF??-----A---?	mateřství#NNN??-----A---?
mdlít#V????--??-??I??	mdlý#AA???----??---?	omdlít#V????--??-??P??
melodrama#NNN??-----A---?	melodram#NNI??-----A---?	melodramatický#AA???----??---?
methylen#NNI??-----A---?	metyl#NNI??-----A---?	metylén#NNI??-----A---?
metrum#NNN??-----A---?	metr#NNI??-----A---?	metrický#AA???----??---?
mikrob#NNI??-----A---?	mikrob#NNM??-----A---?	mikrobiální#AA???----??---?
déšť#NNI??-----A---?	minerál#NNI??-----A---?	minerálka#NNF??-----A---?
minorita#NNF??-----A---?	minorita#NNM??-----A---?	minoritský#AA???----1?---?
mizerie#NNF??-----A---?	mizera#NNF??-----A---?	mizérie#NNF??-----A---?
mizera#NNF??-----A---?	mizera#NNM??-----A---?	mizérie#NNF??-----A---?
moci#V???---??-??I??	moc#Db-------------	mocnina#NNF??-----A---?
model#NNI??-----A---?	model#NNM??-----A---?	modelářský#AA???----??---?
zmokat#V????--??-??I??	moknout#V????--??-??I??	zmoknout#V????--??-??P??
fotografie#NNF??-----A---?	moment#NNI??-----A---?	momentka#NNF??-----A---?
morfematika#NNF??-----A---?	morfém#NNI??-----A---?	morfematický#AA???----??---?
moralizmus#NNI??-----A---?	morální#AA???----??---?	moralista#NNM??-----A---?
zámot#NNI??-----A---?	motat#V????--??-??I??	zámotek#NNI??-----A---?
vléct#Vf--------A----	motor#NNI??-----A---?	motorák#NNI??-----A---?
