tygřátko_N	tygře_None

faráříček_N	farář_None
šnuptychlíček_N	šnuptychl_None
chmelíček_N	chmel_None
výletíček_N	výlet_None
zoftíček_N	zoft_None
šuhajíček_N	šuhaj_None
májíček_N	máj_None
ředitelíček_N	ředitel_None
kultíček_N	kult_None
hospodáříček_N	hospodář_None
grošíček_N	groš_None
šmelináříček_N	šmelinář_None

čímánek_N	číman_None
jehlánek_N	jehlan_None
šufánek_N	šufan_None
Johánek_N	Johan_None
bochánek_N	bochan_None
tyránek_N	tyran_None
kaplánek_N	kaplan_None
čakánek_N	čakan_None
venkovánek_N	venkovan_None
zobánek_N	zoban_None
orangutánek_N	orangutan_None
skokánek_N	skokan_None
Emánek_N	Eman_None
hastrmánek_N	hastrman_None
Tománek_N	Toman_None

cisterciačka_N	cisterciák_None
zálesačka_N	zálesák_None
světačka_N	světák_None
ležačka_N	ležák_None
předzpěvačka_N	předzpěvák_None
zrnovačka_N	zrnovák_None
horačka_N	horák_None
Bosňačka_N	Bosňák_None
skotačka_N	skoták_None
fešačka_N	fešák_None
dudačka_N	dudák_None
Štajeračka_N	Štajerák_None
Malostraňačka_N	Malostraňák_None
Polačka_N	Polák_None

čertí_A	čert_None
tisící_A	tisíc_None
andělí_A	anděl_None
plazí_A	plaz_None
měkkýší_A	měkkýš_None
zvěří_A	zvěř_None
trilobití_A	trilobit_None
klokaní_A	klokan_None
holubí_A	holub_None

skulpturální_A	skulptura_None
prepubertální_A	prepuberta_None
synodální_A	synoda_None
kongruální_A	kongrua_None
uretrální_A	uretra_None
apsidální_A	apsida_None
paschální_A	pascha_None
pleurální_A	pleura_None
retinální_A	retina_None
pragmatikální_A	pragmatika_None

bagatelní_A	bagatela_None
cestní_A	cesta_None
utilitaristní_A	utilitarista_None
redutní_A	reduta_None
oborní_A	obora_None
výbavní_A	výbava_None
řepní_A	řepa_None
budovní_A	budova_None
verbalistní_A	verbalista_None
kapelní_A	kapela_None

Eugenie_N	Eugen_None
Vincencie_N	Vincenc_None
Evženie_N	Evžen_None
Valachie_N	Valach_None
misogynie_N	misogyn_None
Indie_N	Ind_None
Arménie_N	Armén_None
pediatrie_N	pediatr_None
Frýgie_N	Frýg_None
Médie_N	Méd_None
daguerrotypie_N	daguerrotyp_None
misantropie_N	misantrop_None
Galie_N	Gal_None
Germánie_N	Germán_None

sumární_A	suma_None
pupilární_A	pupila_None
valutární_A	valuta_None
valvulární_A	valvula_None
nebulární_A	nebula_None
monetární_A	moneta_None
kutikulární_A	kutikula_None
ulnární_A	ulna_None
mandibulární_A	mandibula_None
celulární_A	celula_None
vakuolární_A	vakuola_None

zblíčko_N	zblo_None
gustíčko_N	gusto_None
kilíčko_N	kilo_None
zrcadlíčko_N	zrcadlo_None
žitíčko_N	žito_None
věníčko_N	věno_None
heslíčko_N	heslo_None
kontíčko_N	konto_None
procentíčko_N	procento_None
veslíčko_N	veslo_None
dělíčko_N	dělo_None
kouzlíčko_N	kouzlo_None
víníčko_N	víno_None

košilička_N	košile_None
vochlička_N	vochle_None
bruslička_N	brusle_None
kapslička_N	kapsle_None
ženglička_N	žengle_None
tabulička_N	tabule_None
šrajtoflička_N	šrajtofle_None
viřtlička_N	viřtle_None
vandlička_N	vandle_None
šaržička_N	šarže_None
zořička_N	zoře_None
lyžička_N	lyže_None
střevlička_N	střevle_None

kladička_N	kladka_None
špičička_N	špička_None
škatulička_N	škatulka_None
dečička_N	dečka_None
jupička_N	jupka_None
špulička_N	špulka_None
bazalička_N	bazalka_None
smrtička_N	smrtka_None
rosolička_N	rosolka_None
škartička_N	škartka_None
zásuvička_N	zásuvka_None
